Raw:-3.07,19.02,15.11,-3.07,19.02,15.11,-3.07,19.02,15.11
Raw:-7.13,13.42,0.77,-7.13,13.42,0.77,-7.13,13.42,0.77
Raw:3.53,1.23,-2.22,3.53,1.23,-2.22,3.53,1.23,-2.22
Raw:-1.38,4.98,1.15,-1.38,4.98,1.15,-1.38,4.98,1.15
Raw:2.99,2.91,-3.22,2.99,2.91,-3.22,2.99,2.91,-3.22
Raw:-0.54,9.82,0.31,-0.54,9.82,0.31,-0.54,9.82,0.31
Raw:-0.61,12.58,-7.29,-0.61,12.58,-7.29,-0.61,12.58,-7.29
Raw:1.99,9.51,3.68,1.99,9.51,3.68,1.99,9.51,3.68
Raw:-4.06,11.96,2.15,-4.06,11.96,2.15,-4.06,11.96,2.15
Raw:-3.68,8.44,-0.08,-3.68,8.44,-0.08,-3.68,8.44,-0.08
Raw:-2.99,7.98,1.07,-2.99,7.98,1.07,-2.99,7.98,1.07
Raw:-3.37,7.82,-0.31,-3.37,7.82,-0.31,-3.37,7.82,-0.31
Raw:1.53,5.67,-1.07,1.53,5.67,-1.07,1.53,5.67,-1.07
Raw:2.15,4.75,-0.61,2.15,4.75,-0.61,2.15,4.75,-0.61
Raw:-3.07,8.21,-1.00,-3.07,8.21,-1.00,-3.07,8.21,-1.00
Raw:-1.30,4.98,4.68,-1.30,4.98,4.68,-1.30,4.98,4.68
Raw:0.08,-4.14,9.13,0.08,-4.14,9.13,0.08,-4.14,9.13
Raw:-11.04,1.30,10.89,-11.04,1.30,10.89,-11.04,1.30,10.89
Raw:-4.83,-2.30,13.19,-4.83,-2.30,13.19,-4.83,-2.30,13.19
Raw:4.91,-9.74,23.16,4.91,-9.74,23.16,4.91,-9.74,23.16
Raw:-10.58,-5.06,15.26,-10.58,-5.06,15.26,-10.58,-5.06,15.26
Raw:-10.20,-8.13,6.83,-10.20,-8.13,6.83,-10.20,-8.13,6.83
Raw:1.61,-10.05,19.56,1.61,-10.05,19.56,1.61,-10.05,19.56
Raw:-11.58,-2.68,14.95,-11.58,-2.68,14.95,-11.58,-2.68,14.95
Raw:-4.98,-8.13,16.79,-4.98,-8.13,16.79,-4.98,-8.13,16.79
Raw:-3.37,-9.36,25.38,-3.37,-9.36,25.38,-3.37,-9.36,25.38
Raw:-6.06,-4.60,17.25,-6.06,-4.60,17.25,-6.06,-4.60,17.25
Raw:-1.61,-8.36,15.18,-1.61,-8.36,15.18,-1.61,-8.36,15.18
Raw:-11.12,-2.53,15.64,-11.12,-2.53,15.64,-11.12,-2.53,15.64
Raw:1.61,-2.91,19.56,1.61,-2.91,19.56,1.61,-2.91,19.56
Raw:-1.38,14.03,11.73,-1.38,14.03,11.73,-1.38,14.03,11.73
Raw:6.37,13.19,8.74,6.37,13.19,8.74,6.37,13.19,8.74
Raw:9.97,11.89,9.20,9.97,11.89,9.20,9.97,11.89,9.20
Raw:8.97,5.90,7.13,8.97,5.90,7.13,8.97,5.90,7.13
Raw:7.13,8.05,10.74,7.13,8.05,10.74,7.13,8.05,10.74
Raw:4.22,9.82,8.44,4.22,9.82,8.44,4.22,9.82,8.44
Raw:3.30,5.14,11.66,3.30,5.14,11.66,3.30,5.14,11.66
Raw:-3.91,8.74,6.37,-3.91,8.74,6.37,-3.91,8.74,6.37
Raw:-5.60,9.89,7.29,-5.60,9.89,7.29,-5.60,9.89,7.29
Raw:-3.22,10.66,0.23,-3.22,10.66,0.23,-3.22,10.66,0.23
Raw:-4.75,14.80,0.15,-4.75,14.80,0.15,-4.75,14.80,0.15
Raw:0.46,11.96,-1.84,0.46,11.96,-1.84,0.46,11.96,-1.84
Raw:0.38,16.03,-2.99,0.38,16.03,-2.99,0.38,16.03,-2.99
Raw:6.98,13.42,2.68,6.98,13.42,2.68,6.98,13.42,2.68
Raw:0.31,16.10,4.75,0.31,16.10,4.75,0.31,16.10,4.75
Raw:-2.15,16.49,4.83,-2.15,16.49,4.83,-2.15,16.49,4.83
Raw:0.31,14.34,0.23,0.31,14.34,0.23,0.31,14.34,0.23
Raw:0.84,10.05,3.83,0.84,10.05,3.83,0.84,10.05,3.83
Raw:-6.37,13.04,5.98,-6.37,13.04,5.98,-6.37,13.04,5.98
Raw:-16.41,15.95,-5.37,-16.41,15.95,-5.37,-16.41,15.95,-5.37
Raw:-4.06,6.83,2.45,-4.06,6.83,2.45,-4.06,6.83,2.45
Raw:1.69,-18.10,-5.44,1.69,-18.10,-5.44,1.69,-18.10,-5.44
Raw:-10.12,-5.90,-0.38,-10.12,-5.90,-0.38,-10.12,-5.90,-0.38
Raw:-10.43,0.61,-1.23,-10.43,0.61,-1.23,-10.43,0.61,-1.23
Raw:7.90,-9.13,3.60,7.90,-9.13,3.60,7.90,-9.13,3.60
Raw:3.53,-15.41,-2.84,3.53,-15.41,-2.84,3.53,-15.41,-2.84
Raw:4.06,-14.42,1.99,4.06,-14.42,1.99,4.06,-14.42,1.99
